주소,위도,경도
경기도 수원시 장안구 파장동 130,37.3174816,126.9886448
경기도 수원시 장안구 정자동 434-14,37.3052417,126.992168
경기도 수원시 장안구 이목동 259,37.3164354,126.9819123
경기도 수원시 권선구 평동 56-35,37.257215,126.9968192
경기도 수원시 권선구 고색동 215-1,37.2516396,126.9918995
경기도 수원시 권선구 고색동 894-5,37.2560444,126.9743115
경기도 수원시 권선구 오목천동 414,37.2391496,126.9599003
경기도 수원시 권선구 서둔동 44465,37.2725431,126.9860047
경기도 수원시 권선구 탑동 452-1,37.2665757,126.97227
경기도 수원시 권선구 대황교동 259-12,37.2360511,127.0184224
경기도 수원시 권선구 입북동 426-1,37.2926492,126.9589589
경기도 수원시 팔달구 화서동 647-2,37.2867134,126.9933873
경기도 수원시 팔달구 우만동 22,37.2822295,127.0398049
경기도 수원시 팔달구 인계동 369-7,37.2717609,127.0353849
경기도 수원시 영통구 원천동 409-2,37.2592103,127.0645549
경기도 수원시 영통구 이의동 1090-4,37.2947325,127.0357616
경기도 성남시 수정구 복정동 261-16,37.4678259,127.1258954
경기도 성남시 수정구 시흥동 31686,37.422027,127.1077946
경기도 성남시 중원구 갈현동 351,37.4225727,127.1667045
경기도 성남시 분당구 정자동 214,37.3545818,127.118907
경기도 안양시 만안구 박달동 132-3,37.4019737,126.9040992
경기도 안양시 만안구 박달동 683-5,37.4056569,126.8859405
경기도 안양시 만안구 박달동 705-3,37.4037113,126.8852464
경기도 안양시 동안구 비산동 540-9,37.4000899,126.9307045
경기도 안양시 동안구 비산동 1055-1,37.4014391,126.9507547
경기도 부천시 심곡동 363-5,37.4855117,126.7761654
경기도 부천시 춘의동 408,37.5056838,126.8134152
경기도 부천시 약대동 128-4,37.5129083,126.7697346
경기도 부천시 고강동 44198,37.5310615,126.8171985
경기도 부천시 대장동 667-9,37.5442997,126.7643552
경기도 평택시 장당동 19176,37.0449855,127.0620792
경기도 평택시 도일동 992,37.044163,127.1016589
경기도 평택시 도일동 1005-3,37.0349166,127.0991758
경기도 평택시 장안동 32874,37.0604563,127.084496
경기도 평택시 독곡동 360-3,37.085241,127.0619134
경기도 평택시 동삭동 337-1,37.0188081,127.0955036
경기도 평택시 소사동 1-17,36.9927443,127.1352123
경기도 평택시 죽백동 442-1,37.0177209,127.1174682
경기도 평택시 팽성읍 남산리 218-7,36.9548412,127.0609978
경기도 평택시 팽성읍 석근리 44245,36.9382159,127.0490742
경기도 평택시 팽성읍 송화리 244-1,36.9528531,127.0528111
경기도 평택시 안중읍 안중리 226-2,36.988866,126.9337116
경기도 평택시 안중읍 금곡리 17380,36.998925,126.9531847
경기도 평택시 포승읍 희곡리 260-2,36.9675363,126.8620535
경기도 평택시 포승읍 신영리 413-16,36.942895,126.8779271
경기도 평택시 포승읍 신영리 829,36.9377672,126.8903506
경기도 평택시 청북읍 현곡리 292-17,37.0395951,126.9336107
경기도 평택시 청북읍 토진리 403-2,37.0340438,126.9603619
경기도 평택시 청북읍 어연리 732-2,37.0481026,126.9730479
경기도 평택시 청북읍 고렴리 926-1,37.0630871,126.9313154
경기도 평택시 진위면 마산리 387-9,37.0853033,127.0912138
경기도 평택시 진위면 동천리 606-3,37.1253263,127.0979446
경기도 평택시 진위면 견산리 333-1,37.106784,127.077436
경기도 평택시 현덕면 권관리 570-13,36.9170931,126.9064327
경기도 안산시 상록구 사동 1423-6,37.2837787,126.8476683
경기도 안산시 상록구 부곡동 44197,37.3319506,126.8610432
경기도 안산시 상록구 건건동 435-1,37.3117161,126.9127874
경기도 안산시 상록구 수암동 465,37.3652022,126.8770798
경기도 안산시 단원구 와동 56,37.3445161,126.8317215
경기도 안산시 단원구 신길동 249-20,37.3341335,126.7561756
경기도 안산시 단원구 선부동 1028-11,37.3412972,126.804184
경기도 안산시 단원구 대부동동 568-2,37.2404864,126.6027471
경기도 과천시 갈현동 309-6,37.4095505,126.9793782
경기도 오산시 원동 420-1,37.1372376,127.0738125
경기도 오산시 지곶동 249-1,37.1786186,127.0262258
경기도 오산시 갈곶동 285,37.1305725,127.0716811
경기도 시흥시 대야동 332-30,37.4479261,126.7857005
경기도 시흥시 방산동 203-1,37.4278934,126.7740094
경기도 시흥시 계수동 174,37.4530308,126.8169138
경기도 시흥시 논곡동 312-10,37.3988425,126.8549384
경기도 시흥시 월곶동 395-13,37.3765741,126.7641101
경기도 시흥시 정왕동 1112-2,37.3712312,126.738458
경기도 시흥시 정왕동 112496,37.3486016,126.7271088
경기도 군포시 당정동 13,37.3637356,126.9591698
경기도 군포시 산본동 207-5,37.3711913,126.9351194
경기도 의왕시 고천동 375,37.3513444,126.9639212
경기도 의왕시 이동 364-10,37.3348351,126.9603405
경기도 의왕시 오전동 204-4,37.3561402,126.9674696
경기도 의왕시 청계동 536,37.3925523,127.0114457
경기도 의왕시 포일동 509-2,37.3921509,126.9870157
경기도 하남시 상산곡동 137-5,37.4965044,127.232577
경기도 용인시 처인구 삼가동 14427,37.2422929,127.1641793
경기도 용인시 처인구 남동 178-7,37.2244157,127.2099087
경기도 용인시 처인구 유방동 515-6,37.2445609,127.2119708
경기도 용인시 처인구 마평동 549,37.2264291,127.2157868
경기도 용인시 처인구 운학동 429-4,37.2087885,127.2345697
경기도 용인시 처인구 포곡읍 삼계리281-1,37.2894933,127.2343743
경기도 용인시 처인구 모현읍 왕산리711-1,37.3513822,127.2474717
경기도 용인시 처인구 백암면 가좌리239-3,37.1735648,127.3474955
경기도 용인시 기흥구 영덕동 1293,37.2595166,127.091005
경기도 용인시 기흥구 영덕동 1288,37.2602134,127.0803334
경기도 용인시 기흥구 동백동 406-8,37.2886925,127.1495431
경기도 용인시 수지구 상현동 342,37.3035419,127.0759132
경기도 이천시 증포동 153-3,37.2898835,127.4543123
경기도 이천시 송정동 232-1,37.3044754,127.4315941
경기도 이천시 사음동 643-3,37.3003559,127.4079669
경기도 이천시 장호원읍 대서리 364-6,37.1086685,127.5721895
경기도 이천시 장호원읍 선읍리 44198,37.141249,127.5752767
경기도 이천시 부발읍 신원리 27942,37.2978028,127.5108431
경기도 이천시 부발읍 신하리 434-10,37.2614045,127.4753601
경기도 이천시 부발읍 신하리 561-6,37.2565678,127.4853153
경기도 이천시 부발읍 가산리 491-19,37.2417171,127.5057528
경기도 이천시 백사면 송말리 104-3,37.3352747,127.4859198
경기도 이천시 호법면 유산리 356,37.2481593,127.4415186
경기도 이천시 설성면 금당리 26420,37.1317198,127.5186419
경기도 안성시 보개면 양복리 910-3,37.0148999,127.3145117
경기도 안성시 보개면 불현리 27791,37.0258286,127.2863451
경기도 안성시 보개면 북가현리 590-1,37.0990117,127.3104664
경기도 안성시 미양면 양지리 14824,36.979974,127.217063
경기도 안성시 대덕면 모산리 396-3,37.025886,127.237037
경기도 안성시 대덕면 건지리 351,37.0136958,127.2354069
경기도 안성시 양성면 이현리 263-4,37.0865834,127.2070899
경기도 안성시 양성면 장서리 382-5,37.0993443,127.2117021
경기도 안성시 원곡면 칠곡리 581-3,37.0376713,127.1509795
경기도 안성시 원곡면 내가천리 164-25,37.0393437,127.1224866
경기도 안성시 일죽면 가리 551,37.073916,127.4909204
경기도 안성시 일죽면 당촌리 133-5,37.1005511,127.5095873
경기도 안성시 일죽면 방초리 16163,37.1213128,127.4259414
경기도 안성시 일죽면 능국리 348-3,37.1040173,127.4843984
경기도 안성시 일죽면 화봉리 231-1,37.0686607,127.476468
경기도 안성시 죽산면 죽산리 541-7,37.0730052,127.4175312
경기도 안성시 죽산면 두현리 31809,37.0730505,127.4063322
경기도 안성시 죽산면 당목리 691-5,37.0372834,127.4260954
경기도 안성시 삼죽면 내강리 13881,37.0679984,127.3627191
경기도 안성시 삼죽면 진촌리 329-3,37.0590268,127.3672291
경기도 안성시 고삼면 대갈리 44227,37.0694762,127.2519271
경기도 김포시 통진읍 가현리 249-8,37.6816156,126.5976073
경기도 김포시 고촌읍 태리 306-13,37.6069613,126.7451805
경기도 김포시 고촌읍 신곡리 92,37.6109709,126.7812081
경기도 김포시 고촌읍 신곡리 532-25,37.6011347,126.7710576
경기도 김포시 대곶면 거물대리 224-6,37.670844,126.5988665
경기도 김포시 대곶면 대명리 440-1,37.6441082,126.5490962
경기도 김포시 월곶면 갈산리 466-14,37.7026799,126.5675706
경기도 화성시 안녕동 44515,37.1999318,127.0052893
경기도 화성시 석우동 28,37.2212694,127.0762024
경기도 화성시 영천동 778,37.2058535,127.1129513
경기도 화성시 영천동 47150,37.2058535,127.1129513
경기도 화성시 방교동 827-3,37.180257,127.092458
경기도 화성시 향남읍 발안리 182-12,37.1281983,126.901566
경기도 화성시 비봉면 양노리 645-4,37.222744,126.8517853
경기도 화성시 서신면 상안리 274-1,37.1797041,126.708942
경기도 화성시 팔탄면 창곡리 1030,37.1738795,126.8913572
경기도 화성시 팔탄면 율암리 580-17,37.1631798,126.8920111
경기도 광주시 오포읍 추자리 306-1,37.3586073,127.2262676
경기도 광주시 곤지암읍 곤지암리19391,37.3430498,127.3499236
경기도 광주시 곤지암읍 연곡리 207-1,37.3680149,127.3921863
경기도 광주시 곤지암읍 삼리 44354,37.3509509,127.3224836
경기도 광주시 퇴촌면 광동리 147-6,37.4705739,127.3103883
경기도 광주시 퇴촌면 도수리 266-9,37.4683389,127.3321324
경기도 여주시 능서면 번도리 887-33,37.2982809,127.6000332
경기도 여주시 능서면 용은리 424-21,37.2967691,127.5466064
경기도 양평군 옥천면 옥천리 869-2,37.5084528,127.451109
경기도 양평군 옥천면 옥천리 931-2,37.5054631,127.455413
