,주소,도로측면코드,토지면적,공시지가,총인구수,20수소차등록대수,25예상수소차누적보급대수,1일 평균 주행거리,위도,경도,화성_거리,평택_거리,안산_거리,cluster,판매수소량,수소판매금액,월세,총운송비용,총수소비용,25이윤
140,경기도 하남시 상산곡동137-5,1,660,2000000,7815,120,1305,39.3,37.4965044,127.232577,78.77,88.35,62.56,4,16195.73684,43180,55000000,1966631481,72152007.63,-1394451572
91,경기도 이천시 호법면유산리 356,4,1380,490000,5900,3,288,41.6,37.2481593,127.4415186,76.4,98.72,69.94,1,3783.410526,43180,28175000,513611372.2,16855093.89,-395273799.6
113,경기도 이천시 증포동153-3,4,718,938000,53797,3,288,41.6,37.2898835,127.4543123,87.85,101.91,87.83,1,3783.410526,43180,28061833.33,644988373.2,16855093.89,-526537633.9
102,경기도 이천시 장호원읍대서리364-6,4,1010,185000,14699,3,288,41.6,37.1086685,127.5721895,92.5,100.59,97.12,1,3783.410526,43180,7785416.667,679282984.4,16855093.89,-540555828.5
88,경기도 이천시 송정동232-1,4,217,672000,53797,3,288,41.6,37.3044754,127.4315941,84.82,98.23,78.8,1,3783.410526,43180,6076000,578675666.7,16855093.89,-438239094.1
87,경기도 이천시 설성면금당리 72-5,7,987,230000,4752,3,288,41.6,37.131989,127.5192663,76.47,84.98,87.18,1,3783.410526,43180,9458750,561565079.1,16855093.89,-424511256.5
117,경기도 이천시 사음동643-3,5,990,1250000,10279,3,288,41.6,37.3003559,127.4079669,81.49,95.57,76.13,1,3783.410526,43180,51562500,559068255.2,16855093.89,-464118182.5
96,경기도 이천시 부발읍가산리491-19,4,1487,441000,36065,3,288,41.6,37.2417171,127.5057528,83.58,96.45,77.02,1,3783.410526,43180,27323625,565604059,16855093.89,-446415111.4
110,경기도 이천시 백사면송말리104-3,6,1587,367000,11268,3,288,41.6,37.3352747,127.4859198,96.17,114.01,88.17,1,3783.410526,43180,24267875,647485197.2,16855093.89,-525240499.5
78,경기도 용인시 처인구포곡읍 삼계리281-1,5,418,1020000,33300,74,696,38.4,37.2894933,127.2343743,56.68,77.88,50.81,4,8439.915789,43180,17765000,832363147.4,37599824.84,-523292408.4
47,경기도 오산시 지곶동249-1,7,1063,869000,31988,10,525,36.7,37.1786186,127.0262258,22.26,45.57,34.7,4,6084.473684,43180,38489458.33,262889785.8,27106330.26,-65758000.66
51,경기도 여주시 능서면용은리424-21,5,655,359000,6400,5,70,48.2,37.2967691,127.5466064,100.31,114.45,84.49,1,1065.473684,43180,9797708.333,174732452.7,4746685.263,-143269692.6
86,경기도 양평군 옥천면옥천리869-2,1,1119,670000,7920,1,172,39.6,37.5084528,127.451109,100.41,109.39,83.16,1,2150.905263,43180,31238750,347185275.7,9582282.947,-295130219.4
84,경기도 안성시 죽산면죽산리541-7,7,364,409000,6850,25,540,37.9,37.0730052,127.4175312,61.78,71.66,92.46,1,6462.947368,43180,6203166.667,775004204.4,28792430.53,-530929734.2
97,경기도 안성시 일죽면방초리 44-4,6,755,164000,7589,25,540,37.9,37.141293,127.4365814,71.79,78.57,78.3,1,6462.947368,43180,5159166.667,900575458.7,28792430.53,-655456988.5
49,경기도 안성시 원곡면내가천리164-25,4,1173,597000,6300,25,540,37.9,37.0393437,127.1224866,28.02,35.8,58.75,4,6462.947368,43180,29178375,351499155.2,28792430.53,-130399893.4
54,경기도 안성시 양성면이현리263-4,6,976,291000,5281,25,540,37.9,37.0865834,127.2070899,40.29,47.6,68.42,4,6462.947368,43180,11834000,505421162.1,28792430.53,-266977525.3
76,경기도 안성시 삼죽면진촌리329-3,4,900,240000,3545,25,540,37.9,37.0590268,127.3672291,56.52,66.53,87.33,4,6462.947368,43180,9000000,709019709.2,28792430.53,-467742072.4
59,경기도 안성시 보개면불현리 76-2,6,713,214000,5368,25,540,37.9,37.0289902,127.2877498,46.88,55.39,75.31,4,6462.947368,43180,6357583.333,588089949.9,28792430.53,-344169896.4
61,경기도 안성시 미양면양지리 40-8,6,998,282000,5834,25,540,37.9,36.9807823,127.2212175,45.39,53.9,73.86,4,6462.947368,43180,11726500,569398524.4,28792430.53,-330847387.6
77,경기도 안성시 대덕면건지리 351,4,1500,530000,15332,25,540,37.9,37.0136958,127.2354069,45.85,55.55,76.37,4,6462.947368,43180,33125000,575169031.6,28792430.53,-358016394.8
63,경기도 안성시 고삼면대갈리 31-1,6,796,234000,1967,25,540,37.9,37.0739614,127.2580806,49.45,57.96,77.92,4,6462.947368,43180,7761000,620329522.6,28792430.53,-377812885.8
46,경기도 안산시 단원구대부동동568-255,6,1018,600000,8800,46,1341,39,37.2400843,126.6032616,46.56,48.75,29.6,4,16515.47368,43180,25450000,948873418.9,73576435.26,-334761700.4
123,경기도 시흥시 정왕동2208-1,7,6600,755000,20261,17,828,39.6,37.3496216,126.7028121,46.48,50.17,12.49,4,10354.35789,43180,207625000,251021630.3,46128664.42,-57674120.86
126,경기도 김포시 통진읍가현리249-8,6,1306,638000,26681,12,839,40.8,37.6816156,126.5976073,88.49,96.34,57.18,1,10809.85263,43180,34717833.33,1199746412,48157893.47,-815852702.1
134,경기도 김포시 월곶면갈산리466-14,1,1462,684000,5512,12,839,40.8,37.7026799,126.5675706,96.8,99.39,63.91,1,10809.85263,43180,41667000,1340954760,48157893.47,-964010217
118,경기도 김포시 대곶면거물대리224-6,7,684,575000,9776,12,839,40.8,37.670844,126.5988665,87.33,91.75,56.41,1,10809.85263,43180,16387500,1183590330,48157893.47,-781366287.3
108,경기도 김포시 고촌읍신곡리 92,6,1498,1030000,44389,12,839,40.8,37.6109709,126.7812081,70.48,83.71,41.96,4,10809.85263,43180,64289166.67,880401529.3,48157893.47,-526079152.8
120,경기도 광주시 퇴촌면광동리147-6,6,284,901000,15086,4,609,45.8,37.4705739,127.3103883,90.09,90.71,64.47,1,8808.063158,43180,10661833.33,1102208170,39239921.37,-771777757
129,경기도 광주시 곤지암읍곤지암리53-2,1,989,805000,22967,4,609,45.8,37.3424234,127.3584859,78.11,92.08,66.78,1,8808.063158,43180,33172708.33,1141700970,39239921.37,-833781432.9
