주소,위도,경도,
경기도 평택시 청북읍현곡리292-17,37.0395951,126.9336107,
경기도 평택시 청북읍고렴리926-1,37.0630871,126.9313154,
경기도 화성시 향남읍발안리182-12,37.1281983,126.901566,
경기도 평택시 포승읍희곡리260-2,36.9675363,126.8620535,
경기도 평택시 청북읍토진리403-2,37.0340438,126.9603619,
경기도 평택시 청북읍어연리732-2,37.0481026,126.9730479,
경기도 화성시 팔탄면율암리580-17,37.1631798,126.8920111,
경기도 화성시 팔탄면창곡리1030,37.1738795,126.8913572,
경기도 평택시 안중읍금곡리 47-8,37.0014603,126.958707,
경기도 평택시 포승읍신영리 829,36.9377672,126.8903506,
경기도 평택시 포승읍신영리413-16,36.942895,126.8779271,
경기도 화성시 비봉면양노리645-4,37.222744,126.8517853,
경기도 평택시 현덕면권관리570-13,36.9170931,126.9064327,
경기도 평택시 안중읍안중리226-2,36.988866,126.9337116,
경기도 평택시 독곡동360-3,37.085241,127.0619134,
경기도 평택시 진위면견산리333-1,37.106784,127.077436,
경기도 화성시 안녕동15-11,37.2053279,127.0226157,
경기도 화성시 서신면상안리274-1,37.1797041,126.708942,
경기도 평택시 동삭동337-1,37.0188081,127.0955036,
경기도 평택시 장안동90-1,37.0644818,127.0921167,
경기도 평택시 팽성읍석근리 2-18,36.943079,127.0510662,
경기도 평택시 죽백동442-1,37.0177209,127.1174682,
경기도 평택시 진위면동천리606-3,37.1253263,127.0979446,
경기도 평택시 팽성읍송화리244-1,36.9528531,127.0528111,
경기도 평택시 팽성읍남산리218-7,36.9548412,127.0609978,
경기도 평택시 도일동992,37.044163,127.1016589,
경기도 안산시 단원구와동 56,37.3445161,126.8317215,
경기도 안산시 단원구신길동249-20,37.3341335,126.7561756,
경기도 평택시 도일동1005-3,37.0349166,127.0991758,
경기도 안산시 상록구건건동435-1,37.3117161,126.9127874,
경기도 안산시 상록구사동 1423-632,37.2847615,126.8477323,
경기도 시흥시 월곶동395-13,37.3765741,126.7641101,
경기도 안산시 상록구부곡동 1-1,37.3460087,126.8696086,
경기도 수원시 권선구입북동426-1,37.2926492,126.9589589,
경기도 안산시 단원구선부동1028-11,37.3412972,126.804184,
경기도 수원시 장안구정자동434-14,37.3052417,126.992168,
경기도 평택시 장당동52-7,37.043509,127.0631208,
경기도 수원시 장안구파장동 130,37.3174816,126.9886448,
경기도 수원시 권선구대황교동259-12,37.2360511,127.0184224,
경기도 수원시 권선구고색동215-1,37.2516396,126.9918995,
경기도 수원시 권선구오목천동414,37.2391496,126.9599003,
경기도 시흥시 방산동203-1,37.4278934,126.7740094,
경기도 수원시 장안구이목동 259,37.3164354,126.9819123,
경기도 시흥시 대야동332-30,37.4479261,126.7857005,
경기도 시흥시 계수동174,37.4530308,126.8169138,
경기도 수원시 권선구고색동894-5,37.2560444,126.9743115,
경기도 안산시 단원구대부동동568-255,37.2400843,126.6032616,
경기도 오산시 지곶동249-1,37.1786186,127.0262258,
경기도 용인시 기흥구영덕동1293,37.2595166,127.091005,
경기도 안성시 원곡면내가천리164-25,37.0393437,127.1224866,
경기도 의왕시 청계동536,37.3925523,127.0114457,
경기도 여주시 능서면용은리424-21,37.2967691,127.5466064,
경기도 안성시 양성면장서리382-5,37.0993443,127.2117021,
경기도 시흥시 논곡동312-10,37.3988425,126.8549384,
경기도 안성시 양성면이현리263-4,37.0865834,127.2070899,
경기도 군포시 산본동207-5,37.3711913,126.9351194,
경기도 여주시 능서면번도리887-33,37.2982809,127.6000332,
경기도 화성시 방교동827-3,37.180257,127.092458,
경기도 평택시 진위면마산리387-9,37.0853033,127.0912138,
경기도 안성시 보개면불현리 76-2,37.0289902,127.2877498,
경기도 안성시 원곡면칠곡리581-3,37.0376713,127.1509795,
경기도 안성시 미양면양지리 40-8,36.9807823,127.2212175,
경기도 부천시 고강동1-2,37.5387338,126.8218012,
경기도 안성시 고삼면대갈리 31-1,37.0739614,127.2580806,
경기도 부천시 대장동667-9,37.5442997,126.7643552,
경기도 안산시 상록구수암동 465,37.3652022,126.8770798,
경기도 안성시 보개면북가현리590-1,37.0990117,127.3104664,
경기도 의왕시 이동364-10,37.3348351,126.9603405,
경기도 안성시 보개면양복리910-3,37.0148999,127.3145117,
경기도 용인시 기흥구영덕동1288,37.2602134,127.0803334,
경기도 안양시 만안구박달동705-3,37.4037113,126.8852464,
경기도 김포시 고촌읍태리 306-13,37.6069613,126.7451805,
경기도 수원시 팔달구인계동369-7,37.2717609,127.0353849,
경기도 안양시 만안구박달동683-5,37.4056569,126.8859405,
경기도 오산시 갈곶동285,37.1305725,127.0716811,
경기도 수원시 영통구원천동409-2,37.2592103,127.0645549,
경기도 안성시 삼죽면진촌리329-3,37.0590268,127.3672291,
경기도 안성시 대덕면건지리 351,37.0136958,127.2354069,
경기도 용인시 처인구포곡읍 삼계리281-1,37.2894933,127.2343743,
경기도 수원시 권선구서둔동 9-26,37.2700182,126.9957259,
경기도 안성시 삼죽면내강리 38-1,37.072473,127.3723906,
경기도 수원시 팔달구우만동 22,37.2822295,127.0398049,
경기도 양평군 옥천면옥천리931-2,37.5054631,127.455413,
경기도 수원시 권선구평동 56-35,37.257215,126.9968192,
경기도 안성시 죽산면죽산리541-7,37.0730052,127.4175312,
경기도 용인시 처인구유방동515-6,37.2445609,127.2119708,
경기도 양평군 옥천면옥천리869-2,37.5084528,127.451109,
경기도 이천시 설성면금당리 72-5,37.131989,127.5192663,
경기도 이천시 송정동232-1,37.3044754,127.4315941,
경기도 안성시 죽산면두현리 87-2,37.0725234,127.4137596,
경기도 부천시 약대동128-4,37.5129083,126.7697346,
경기도 이천시 호법면유산리 356,37.2481593,127.4415186,
경기도 안성시 대덕면모산리396-3,37.025886,127.237037,
경기도 용인시 처인구운학동429-4,37.2087885,127.2345697,
경기도 화성시 영천동61,37.2058535,127.1129513,
경기도 의왕시 고천동375,37.3513444,126.9639212,
경기도 이천시 부발읍가산리491-19,37.2417171,127.5057528,
경기도 안성시 일죽면방초리 44-4,37.141293,127.4365814,
경기도 부천시 심곡동363-5,37.4855117,126.7761654,
경기도 용인시 처인구백암면 가좌리239-3,37.1735648,127.3474955,
경기도 부천시 춘의동408,37.5056838,126.8134152,
경기도 안양시 만안구박달동132-3,37.4019737,126.9040992,
경기도 이천시 장호원읍대서리364-6,37.1086685,127.5721895,
경기도 안성시 죽산면당목리691-5,37.0372834,127.4260954,
경기도 수원시 권선구탑동 452-1,37.2665757,126.97227,
