주소,위도,경도
하늘공원로 84 ,37.5773136,126.8806741
서울특별시 영등포구 의사당대로1 ,37.5281914,126.9150934
서울특별시 서초구 바우뫼로12길 73 ,37.4713979,127.031144
서울특별시 강동구 천호대로 1452 ,37.537151,127.1280582
부산광역시 강서구 가락대로 347 ,35.1526783,128.8817806
부산광역시 사상구 학감대로 167 ,35.1390963,128.9924476
대구광역시 달서구 성서공단로 97 ,35.8354249,128.5039276
인천광역시 중구 운서동 3212 ,37.45675585,126.4714472
청능대로468번길 1,37.3970508,126.709613
늘재로 589 ,35.4869942,129.4180709
진곡산단중앙로 55 ,35.2114174,126.778443
동곡로 324 ,35.0866165,126.7723736
대전로 2959 ,36.3482868,127.4159045
유성대로 437 ,36.3591779,127.3337155
산업단지로 27 ,36.2154569,127.050873
남부순환도로 465 ,35.5381652,129.2669142
신화로 99 ,35.52775,129.33569
처용로487번길 83 ,35.48187,129.3564
북부순환도로 1165 ,35.5616245,129.3056948
경부고속도로 44 ,37.2668015,127.1036946
온산로 256 ,35.47922,129.30941
웅촌로 490 ,35.5347594,129.2517989
온산로 545 ,35.47922,129.30941
도움4로 13 ,36.5025311,127.2622688
광교호수로 250 ,37.2866336,127.0792387
팽성로 226,36.940376,127.0481617
청원로 1413 ,37.1782116,126.7815739
초지동 672-2 ,37.3134845,126.8115434
중부고속도로 117 ,36.6259494,127.4204556
경부고속도로 365-1 ,36.0855826,128.3609052
경부고속도로 372-1 ,36.0855826,128.3609052
영봉로139 ,37.6499025,127.0116365
방교동 795 ,37.1755136,127.0927868
시청로 159 ,35.1810472,129.0754331
여주남로 722 ,37.2004156,127.5515899
영서로 1432 ,37.8872839,127.7169409
동해대로 3848 ,37.822295,128.8515012
중부고속도로 51 ,36.6259494,127.4204556
관문주유소 ,36.633986,127.4435274
충청대로 771 ,36.94344,127.73988
금봉대로 605 ,36.98872545,127.9452529
북부로 913 ,37.1039409,127.9731081
읍내로 55 ,34.84957995,128.5900848
중원대로 792 ,36.9622673,127.8798752
초사동 473 ,36.74371,126.9832
상홍리 916 ,36.7963,126.5003
동곡리 358 ,35.8671,128.41496
용봉로 234 ,35.1723755,126.9048431
송천동2가 1190 ,35.8712869,127.1211313
둔산리 951-6번지 ,35.95180695,127.1310636
호남고속도로 108 ,35.1847603,126.8874846
중부내륙고속도로 98 ,36.1601876,128.2662517
볼모산로 43 ,36.77030685,127.0465627
소계로 1 ,35.2564911,128.5990477
현동로 252 ,35.1488333,128.5563349
중앙대로21번길 15 ,35.2183245,128.6737357
진해대로 1327,35.107613,128.7500549
판문로 194 ,35.1914143,128.0364283
군북면 현포로 205,35.29427326,128.3459711
