충전소,충전기,주소,이용가능시간,요금,연락처,비고
상암 수소충전소,1,하늘공원로 84 ,08시~20시,"8,800원",02-3151-0336,
국회 수소충전소,1,서울특별시 영등포구 의사당대로1 ,"평일 08시~24시, 주말·공휴일 08~22시","8,800원",070-8882-7742,
양재 수소충전소,1,서울특별시 서초구 바우뫼로12길 73 ,08시~22시,"8,800원",02-529-4250,
H강동 수소충전소,1,서울특별시 강동구 천호대로 1452 ,"연중무휴, 08시~22시","8,800원",02-426-5372,
서부산엔케이 수소충전소,1,부산광역시 강서구 가락대로 347 ,"월~금, 08시~18시","8,800원",051-711-0580,
부산 수소충전소,1,부산광역시 사상구 학감대로 167 ,"연중무휴, 10시~20시","8,800원",051-317-2777,
하이넷 성서 수소충전소,1,대구광역시 달서구 성서공단로 97 ,"월~토, 08시~20시","8,800원",053-606-1188,
하이넷 인천공항T1 수소충전소,1,인천광역시 중구 운서동 3212 ,"연중무휴, 평일 08시~22시, 주말 공휴일 08~20시","8,800원",,
H인천 수소충전소,1,청능대로468번길 1,"연중무휴, 08시~22시","8,800원",032-446-9094,
광주 벽진 수소충전소,1,늘재로 589 ,"월~일, 09~18시, 토요일 휴무","8,200원",062-960-9578,
진곡 수소충전소,1,진곡산단중앙로 55 ,"월~토, 09시~18시","8,200원",062-960-9580,
동곡 수소충전소,1,동곡로 324 ,"월~금, 09시~18시","8,200원",062-941-9534,
대전 중도가스 수소충전소,1,대전로 2959 ,08:00 ~ 20:00,"8,800원",042-282-2313,
학하 수소충전소,1,유성대로 437 ,"연중무휴, 09시~20시","8,200원",042-716-7362,
하이넷 신탄진휴게소 수소충전소,1,산업단지로 27 ,08:00~22:00,"8,800원",070-7780-2046,
옥동LPG 수소충전소,1,남부순환도로 465 ,"연중무휴, 09시~20시","7,000원",052-265-5540,
울산 투게더수소충전 ,1,신화로 99 ,08:00~18:00(휴무 없음),"7,000원",052-911-5442,
에어프로덕츠 울산 수,1,처용로487번길 83 ,월~금 09:00~18:00,"8,200원",010-6344-3339,
경동 수소충전소,1,북부순환도로 1165 ,"연중무휴, 0시~24시","7,000원",052-288-0610,
언양휴게소 수소충전소,1,경부고속도로 44 ,"연중무휴, 08시~22시","8,800원",052-263-6146,
그린복합 수소충전소,1,온산로 256 ,"연중무휴, 06시~18시","7,000원",052-239-9600,
신일복합 수소충전소,1,웅촌로 490 ,"연중무휴, 06시~18시","7,000원",052-225-1500,
울산 덕하복합충전소,1,온산로 545 ,06:30~22:00(휴무 없음),"7,000원",052-911-5442,
하이넷세종청사 수소충전소,1,도움4로 13 ,"월-토, 08시~20시","8,800원",044-905-5100,
H수원영통 저장식복합,1,광교호수로 250 ,08:00 ~ 20:00(일요일 휴무),"8,800원",-,
하이넷 평택팽성 수소충전소,1,팽성로 226,월~토 08시~20시,"8,800원",031-656-3543,
평택 블루에너지 수소,1,청원로 1413 ,08:00~20:00(휴무 없음),"8,000원",031-668-9999,
안산 수소e로움 충전 ,1,초지동 672-2 ,07:00~21:00,"7,800원",-,
하남드림 수소충전소,1,중부고속도로 117 ,"연중무휴, 08시~22시","8,800원",031-793-5800,
안성휴게소(부산) 수소충전소,1,경부고속도로 365-1 ,"연중무휴, 07시~22시","8,800원",031-651-5385,
안성휴게소(서울) 수소충전소,1,경부고속도로 372-1 ,"연중무휴, 08시~22시","8,800원",031-664-4096,
안성 수소충전소,1,영봉로139 ,09:00~20:00,"8,800원",031-671-5800,
하이넷 화성동탄 수소충전소,1,방교동 795 ,"월-토, 08시~20시","8,800원",031-8043-7800,
H화성시청 수소충전소,1,시청로 159 ,08:00 ~ 20:00,"8,800원",070-4175-4420,
여주휴게소(강릉) 수소충전소,1,여주남로 722 ,"연중무휴, 08시~22시","8,800원",031-881-6130,
하이넷 춘천휴게소 수소충전소(부산방향),1,영서로 1432 ,08:00 ~ 22:00,"8,800원",070-7780-2047,
삼척 수소충전소,1,동해대로 3848 ,"연중무휴, 08시~20시","8,800원",033-575-5189~90,
음성휴게소(남이) 수 ,1,중부고속도로 51 ,08:00~22:00,"8,800원",043-878-5039,
청주 수소충전소,1,관문주유소 ,"월~금 08시~20시, 토일 13시~18시","8,250원",043-211-6604,
도원 수소충전소,1,충청대로 771 ,"연중무휴, 월~금 08시~20시, 토일 13시~18시","8,250원",043-214-7788,
연수 수소충전소,1,금봉대로 605 ,"연중무휴, 07시~21시","8,250원",043-856-8338,
제천삼보 수소충전소,1,북부로 913 ,"평일 08:00~20:00, 휴일 08:00~18:00","8,800원",043-653-5987,
괴산군 수소충전소,1,읍내로 55 ,08:00~20:00,"8,250원",043-832-3939,
(주)삼한 수소충전소,1,중원대로 792 ,05:30~23:00,"8,250원",043-878-5149,
아산초사 수소충전소,1,초사동 473 ,08~22시,"8,400원",041-536-8870,
서산음암 수소충전소,1,상홍리 916 ,09시~20시,"8,800원",041-666-7004,
충남당진 수소충전소,1,동곡리 358 ,"월~금, 09~18시","8,000원",041-358-7571,
내포 수소충전소,1,용봉로 234 ,"월~금, 09시~18시","8,000원",041-635-1248,
하이넷 전주송천 수소충전소,1,송천동2가 1190 ,"월~토, 06~20시","8,800원",063-278-0109,
완주 수소충전소,1,둔산리 951-6번지 ,"연중무휴, 08시~20시","8,800원",063-262-0083,
완주 수소충전소,2,둔산리 951-6번지 ,"연중무휴, 08시~20시","8,800원",063-262-0083,
백양사휴게소(천안) 수소충전소,1,호남고속도로 108 ,"연중무휴, 08시~22시","8,800원",061-393-0257,
성주휴게소(양평) 수소충전소,1,중부내륙고속도로 98 ,"연중무휴, 08시~22시","8,800원",054-933-0820,
창원성주 수소충전소,1,볼모산로 43 ,"월~토, 04시~23시","8,000원",055-286-7715,
창원팔룡 수소충전소,1,소계로 1 ,"월~금, 06시~22시","8,000원",055-299-7716,
창원덕동 수소충전소,1,현동로 252 ,06시~20시 (연중무휴),"8,000원",,
